CrsCode,StationName,Easting,Northing,RevisionNumber,Grid Reference,Latitude,Longitude
WTS,Whatstandwell Rail Station,433315,354125,2,SK 33315 54125,53.083312,-1.5040862
WNG,Waun-gron Park Rail Station,314720,177300,1,ST 14720 77300,51.488194,-3.2296523
WBP,West Brompton Rail Station,525380,178000,3,TQ 25380 78000,51.487060,-0.19559263
WBY,West Byfleet Rail Station,504200,161075,1,TQ 04200 61075,51.339224,-0.50548521
WCL,West Calder Rail Station,302000,663400,1,NT 02000 63400,55.853802,-3.5670167
ZWL,Whitechapel Rail Station,534715,181845,2,TQ 34715 81845,51.519467,-0.059757122
WTC,Whitchurch (Shrops) Rail Station,354985,341400,3,SJ 54985 41400,52.968058,-2.6716982
WCM,Wickham Market Rail Station,632605,255760,2,TM 32605 55760,52.151099,1.3986801
WCF,Westcliff-on-Sea Rail Station,586756,185481,3,TQ 86756 85481,51.537332,0.69146588
WCB,Westcombe Park Rail Station,540245,178070,2,TQ 40245 78070,51.484201,0.018394656
WCY,West Croydon Rail Station,532150,166083,2,TQ 32150 66083,51.378426,-0.10258555
WDN,Walsden Rail Station,393200,422207,2,SD 93200 22207,53.696258,-2.1044640
WGR,Woodgrange Park Rail Station,541850,185355,2,TQ 41850 85355,51.549262,0.044423228
SOF,South Woodham Ferrers Rail Station,580420,197735,3,TQ 80420 97735,51.649457,0.60650507
WDH,Woodhouse Rail Station,442850,385400,1,SK 42850 85400,53.363742,-1.3575535
WDS,Woodlesford Rail Station,436830,429080,1,SE 36830 29080,53.756786,-1.4428794
WME,Woodmansterne Rail Station,528720,159385,1,TQ 28720 59385,51.319018,-0.15426212
WDE,Wood End Rail Station,410710,271745,2,SP 10710 71745,52.343678,-1.8442137
WMR,Widney Manor Rail Station,415450,277570,1,SP 15450 77570,52.395933,-1.7743704
WIM,Wimbledon Rail Station,524811,170666,2,TQ 24811 70666,51.421274,-0.20636866
WDD,Widdrington Rail Station,424485,594190,2,NZ 24485 94190,55.241305,-1.6164734
WDT,West Drayton Rail Station,506120,180120,1,TQ 06120 80120,51.510053,-0.47223430
WST,Wood Street Rail Station,538490,189415,2,TQ 38490 89415,51.586579,-0.0024053983
