CrsCode,StationName,Easting,Northing,RevisionNumber,Grid Reference,Latitude,Longitude
PPL,Pontypool & New Inn Rail Station,330000,200400,3,SO3000000400,51.697962,-3.0142363
PYC,Pontyclun Rail Station,303460,181459,1,ST0346081459,51.523766,-3.3929178
POO,Poole Rail Station,401274,91089,3,SZ0127491089,50.719426,-1.9833175
POP,Poppleton Rail Station,455940,453650,2,SE5594053650,53.975896,-1.1485966
POR,Porth Rail Station,302660,191350,1,ST0266091350,51.612535,-3.4071883
PPK,Possilpark & Parkhouse Rail Station,258850,668640,2,NS5885068640,55.890143,-4.2585126
PBR,Potters Bar Rail Station,525010,201359,2,TL2501001359,51.697066,-0.19260553
PYT,Poynton Rail Station,391150,383730,1,SJ9115083730,53.350383,-2.1344101
PST,Prestonpans Rail Station,339230,673770,1,NT3923073770,55.953097,-2.9747678
PRS,Prees Rail Station,353705,333763,2,SJ5370533763,52.899303,-2.6896627
PSC,Prescot Rail Station,346990,392160,1,SJ4699092160,53.423557,-2.7991712
PRH,Penrhyndeudraeth Rail Station,261320,338820,1,SH6132038820,52.928824,-4.0645624
PRR,Princes Risborough Rail Station,479964,202758,1,SP7996402758,51.717859,-0.84388107
PRL,Prittlewell Rail Station,588033,187015,1,TQ8803387015,51.550686,0.71067603
HPQ,Harwich International Rail Station,623803,232649,1,TM2380332649,51.947288,1.2551244
PRP,Preston Park Rail Station,529975,106779,1,TQ2997506779,50.845942,-0.15516764
PRE,Preston Rail Station,353409,429177,1,SD5340929177,53.756858,-2.7081278
PMG,Porthmadog Harbour Ffestiniog Railway Station,257120,338410,2,SH5712038410,52.924039,-4.1268181
PTM,Porthmadog Rail Station,256630,339190,5,SH5663039190,52.930915,-4.1344463
PMA,Portsmouth Arms Rail Station,263100,119320,1,SS6310019320,50.957,-3.9505794
PRU,Prudhoe Rail Station,408750,563475,2,NZ0875063475,54.965827,-1.8648656
PRY,Perry Barr Rail Station,406750,290960,1,SP0675090960,52.516484,-1.90196
PYN,Penryn Rail Station,177900,34710,2,SW7790034710,50.170711,-5.1116073
PRB,Prestbury Rail Station,390400,377390,1,SJ9040077390,53.293381,-2.1454825
PMS,Portsmouth & Southsea Rail Station,464164,100275,2,SU6416400275,50.798494,-1.090911
PLD,Portslade Rail Station,526471,105551,3,TQ2647105551,50.835681,-0.20533649
PSL,Port Sunlight Rail Station,333660,384060,1,SJ3366084060,53.34925,-2.9980291
PCN,Paisley Canal Rail Station,248300,663420,2,NS4830063420,55.840076,-4.4241173
PYG,Paisley Gilmour Street Rail Station,248304,664230,3,NS4830464230,55.847348,-4.4245063
PYJ,Paisley St James Rail Station,247200,664800,1,NS4720064800,55.852116,-4.4424429
PES,Pensarn (Gwynedd) Rail Station,257800,328000,2,SH5780028000,52.830705,-4.1121596
